"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","vFA (pi)","ERA","xERA","FIP","xFIP","WAR","playerid"
"Kevin Gausman","TOR","3","2","0","7","7","45.0","10.80","0.40","0.00",".353","68.2%","44.9%","0.0%","94.5","2.40","2.50","0.82","2.10","2.5","14107"
"Carlos Rodon","SFG","4","2","0","7","7","38.2","13.03","3.03","0.23",".345","68.1%","36.5%","2.7%","96.4","3.49","2.41","1.61","2.59","1.6","16137"
"Tarik Skubal","DET","3","2","0","7","7","39.2","10.21","1.82","0.45",".317","72.1%","48.1%","5.4%","94.3","2.50","2.35","2.07","2.70","1.5","22267"
"Pablo Lopez","MIA","4","1","0","7","7","43.0","9.63","1.67","0.42",".236","90.1%","46.3%","5.7%","92.9","1.05","2.31","2.11","2.62","1.5","17085"
"Dylan Cease","CHW","4","1","0","8","8","43.2","13.81","3.50","0.62",".330","77.4%","40.6%","7.1%","96.9","3.09","2.21","2.14","2.57","1.5","18525"
"Michael King","NYY","2","1","1","12","0","25.2","12.97","1.40","0.35",".308","81.6%","45.3%","7.1%","96.0","1.40","2.30","1.17","1.42","1.4","19853"
"Freddy Peralta","MIL","3","1","0","7","7","35.2","12.11","3.03","0.25",".310","69.0%","44.7%","3.6%","93.1","3.53","2.90","2.02","2.73","1.3","18679"
"Joe Musgrove","SDP","4","0","0","7","7","45.0","9.40","1.20","0.80",".274","75.5%","41.2%","9.1%","92.4","2.20","2.52","2.68","2.87","1.3","12970"
"Martin Perez","TEX","2","2","0","7","7","40.1","7.36","2.45","0.00",".265","69.8%","53.1%","0.0%","93.1","2.01","2.48","2.41","3.68","1.3","6902"
"Kyle Wright","ATL","3","2","0","7","7","42.0","10.71","2.79","0.43",".301","73.6%","48.1%","5.9%","95.4","2.79","3.09","2.46","2.96","1.2","19665"
"Shohei Ohtani","LAA","3","2","0","6","6","32.1","12.80","1.95","0.84",".284","78.4%","39.0%","11.1%","97.3","2.78","2.46","2.09","2.04","1.2","19755"
"Nestor Cortes","NYY","2","1","0","7","7","40.0","11.03","2.48","0.68",".227","90.6%","36.3%","7.9%","90.6","1.35","2.17","2.43","2.77","1.2","17874"
"Justin Verlander","HOU","5","1","0","7","7","45.2","8.08","1.77","0.79",".168","94.7%","40.0%","8.5%","94.9","1.38","2.61","3.08","3.36","1.2","8700"
"Zac Gallen","ARI","2","0","0","6","6","34.1","9.17","1.31","0.26",".202","89.8%","44.7%","2.6%","94.3","1.05","1.86","2.21","3.35","1.2","19291"
"Miles Mikolas","STL","3","2","0","8","8","48.1","6.70","1.68","0.37",".257","84.7%","47.9%","4.2%","93.1","1.68","2.73","2.81","3.64","1.1","9803"
"Paul Blackburn","OAK","4","0","0","7","7","37.2","6.93","1.19","0.24",".262","82.8%","50.9%","4.0%","92.0","1.67","2.94","2.29","2.86","1.1","14739"
"Max Fried","ATL","4","2","0","7","7","43.0","8.58","0.84","0.84",".281","72.9%","50.8%","12.1%","94.6","3.14","3.49","2.80","2.65","1.1","13743"
"Shane McClanahan","TBR","3","2","0","8","8","46.1","12.63","1.94","1.17",".253","85.9%","56.4%","20.7%","97.4","2.33","2.42","2.67","1.85","1.1","21483"
"Logan Gilbert","SEA","4","2","0","8","8","45.0","10.20","3.20","0.60",".282","79.5%","36.6%","7.3%","95.8","2.40","3.49","2.88","3.27","1.1","22250"
"Clayton Kershaw","LAD","4","0","0","5","5","30.0","9.60","0.90","0.60",".239","84.2%","49.3%","8.7%","90.9","1.80","2.37","2.22","2.41","1.0","2036"
"Merrill Kelly","ARI","3","2","0","8","8","44.0","8.18","3.07","0.41",".310","75.6%","42.5%","4.8%","92.5","3.27","3.76","2.95","3.67","1.0","11156"
