"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","vFA (pi)","ERA","xERA","FIP","xFIP","WAR","playerid"
"Corbin Burnes","MIL","1","2","0","7","7","45.2","11.23","1.58","1.18",".227","94.6%","45.6%","16.2%","","1.77","2.88","2.95","2.36","1.0","19361"
"Michael Kopech","CHW","0","1","0","7","7","35.0","8.49","4.37","0.00",".186","76.5%","30.2%","0.0%","95.5","1.54","2.99","2.74","4.59","1.0","17282"
"Zach Eflin","PHI","1","3","0","6","6","30.0","6.90","1.50","0.30",".316","59.0%","45.8%","3.1%","93.5","3.90","2.30","2.58","3.62","1.0","13774"
"Max Scherzer","NYM","4","1","0","7","7","44.0","11.25","2.25","1.02",".253","83.3%","35.4%","10.9%","93.9","2.66","2.71","3.02","2.98","1.0","3137"
"Alek Manoah","TOR","4","1","0","7","7","42.0","8.36","1.93","0.64",".229","84.2%","38.4%","6.4%","94.3","1.71","2.39","3.08","3.69","0.9","26410"
"Carlos Carrasco","NYM","3","1","0","7","7","41.0","7.68","1.54","0.66",".303","70.8%","41.7%","7.1%","93.5","3.73","3.51","2.99","3.44","0.9","6632"
"Chris Paddack","MIN","1","2","0","5","5","22.1","8.06","0.81","0.00",".357","64.3%","44.1%","0.0%","93.5","4.03","3.01","1.70","3.05","0.9","20099"
"Logan Webb","SFG","5","1","0","7","7","41.1","6.10","2.40","0.22",".326","73.3%","57.6%","3.4%","92.6","3.48","3.23","2.91","3.56","0.9","17995"
"MacKenzie Gore","SDP","2","1","0","6","5","29.0","9.93","2.79","0.31",".333","83.8%","43.2%","4.2%","95.3","2.17","3.18","2.36","3.05","0.9","22201"
"Bruce Zimmermann","BAL","2","2","0","7","7","36.1","7.93","2.23","0.74",".311","76.6%","37.9%","7.5%","90.8","2.72","4.16","3.30","3.75","0.9","20370"
"Frankie Montas","OAK","2","4","0","8","8","49.0","9.73","2.39","1.10",".246","69.7%","48.4%","14.0%","96.2","3.67","2.90","3.37","2.98","0.9","14309"
"Adrian Houser","MIL","3","4","0","7","7","36.1","7.68","4.21","0.25",".284","63.0%","47.2%","3.4%","94.7","3.22","3.66","3.14","3.88","0.9","12718"
"Patrick Sandoval","LAA","2","1","0","6","6","33.0","8.45","4.36","0.00",".283","79.1%","50.0%","0.0%","93.4","1.91","3.21","2.75","3.92","0.9","19447"
"Walker Buehler","LAD","4","1","0","7","7","41.2","7.56","2.16","0.65",".295","81.2%","44.4%","7.0%","95.4","2.81","3.69","3.20","3.69","0.8","19374"
"Chris Bassitt","NYM","4","2","0","7","7","42.1","9.78","2.55","0.85",".260","87.3%","45.8%","9.3%","92.7","2.34","3.01","3.34","3.51","0.8","12304"
"Sean Manaea","SDP","2","3","0","7","7","43.0","10.47","2.93","1.05",".276","70.7%","39.1%","10.9%","","3.77","3.25","3.25","3.21","0.8","15873"
"Zack Greinke","KCR","0","2","0","7","7","38.1","3.29","0.70","0.47",".292","67.9%","38.4%","3.6%","88.8","3.52","5.30","3.42","4.72","0.8","1943"
"Aaron Nola","PHI","1","4","0","8","8","47.0","10.53","1.72","1.34",".273","74.6%","50.9%","17.9%","92.6","3.64","2.63","3.51","2.71","0.8","16149"
"Tyler Mahle","CIN","2","4","0","8","8","36.2","9.82","4.42","0.74",".324","56.2%","35.6%","6.4%","93.8","5.89","3.56","3.44","4.14","0.8","16358"
"Framber Valdez","HOU","2","2","0","7","7","40.0","7.20","3.83","0.23",".284","76.0%","69.0%","12.5%","93.6","2.93","3.23","3.31","3.26","0.7","17295"
"Joe Ryan","MIN","4","2","0","7","7","37.2","8.60","2.87","0.72",".221","83.3%","31.3%","5.7%","92.4","2.39","3.07","3.40","4.30","0.7","21390"
"Drew Rasmussen","TBR","3","1","0","7","7","33.2","7.22","2.14","0.53",".221","75.3%","47.4%","6.7%","96.0","2.67","3.21","3.05","3.51","0.7","25385"
"Jake Odorizzi","HOU","3","2","0","7","7","31.2","5.97","3.41","0.28",".258","62.8%","35.5%","2.5%","92.5","3.13","3.61","3.40","4.73","0.7","6397"
"Zack Wheeler","PHI","1","3","0","6","6","31.2","9.09","2.84","0.57",".322","69.7%","40.4%","6.7%","96.0","4.26","3.09","3.11","3.60","0.7","10310"
"Jameson Taillon","NYY","4","1","0","7","7","35.2","6.81","1.01","1.01",".307","81.2%","44.3%","8.9%","94.1","3.28","3.30","3.53","3.81","0.7","11674"
"Triston McKenzie","CLE","2","3","0","7","6","36.1","8.42","2.72","0.74",".233","76.9%","30.8%","6.3%","92.7","2.97","3.69","3.44","4.19","0.7","18000"
"Dane Dunning","TEX","1","2","0","7","7","37.2","8.84","3.11","0.72",".292","70.8%","50.9%","10.7%","","4.06","4.03","3.27","3.26","0.6","19409"
"Jeffrey Springs","TBR","1","1","0","11","3","21.2","8.31","1.25","0.42",".236","83.3%","43.6%","4.8%","92.2","1.66","2.09","2.25","2.99","0.6","17677"
"Gerrit Cole","NYY","3","0","0","7","7","36.2","11.29","2.95","1.23",".273","85.7%","44.1%","16.1%","97.8","2.95","3.18","3.41","2.80","0.6","13125"
"Justin Steele","CHC","1","4","0","7","7","28.0","9.32","4.82","0.32",".337","63.4%","48.8%","4.0%","92.8","4.50","3.18","3.08","3.85","0.6","17312"
"Tylor Megill","NYM","4","2","0","7","7","34.2","9.61","2.34","1.04",".280","66.9%","43.2%","12.5%","95.7","4.41","3.66","3.31","3.08","0.6","21318"
"Connor Overton","CIN","1","0","0","4","4","24.2","3.65","2.55","0.00",".208","77.3%","43.1%","0.0%","91.6","1.82","3.64","3.12","4.46","0.6","18376"
"Sandy Alcantara","MIA","3","2","0","8","8","50.2","7.46","3.55","0.71",".244","80.9%","52.6%","9.8%","97.5","2.49","2.84","3.87","3.96","0.6","18684"
"Rich Hill","BOS","1","1","0","6","6","28.0","6.75","2.25","0.64",".268","75.3%","33.3%","5.3%","88.4","2.89","3.32","3.37","4.31","0.6","4806"
"Brock Burke","TEX","3","0","0","11","0","20.0","12.60","2.25","0.45",".326","86.0%","34.9%","6.3%","95.1","1.35","3.01","1.68","2.13","0.6","17968"
"Luis Garcia","HOU","3","1","0","6","6","33.2","9.89","2.41","1.34",".222","80.8%","38.4%","11.4%","94.6","2.94","2.75","3.71","3.57","0.6","23735"
"Alex Cobb","SFG","3","1","0","6","6","25.2","11.22","3.16","0.70",".394","49.7%","69.4%","15.4%","95.3","5.61","1.74","2.65","2.34","0.6","6562"
"Noah Syndergaard","LAA","3","2","0","6","6","30.0","6.60","2.40","0.60",".284","69.1%","47.4%","5.9%","94.6","3.60","4.28","3.48","4.18","0.6","11762"
"Chad Kuhl","COL","3","2","0","7","7","37.1","7.23","3.13","0.96",".250","70.3%","44.6%","10.5%","94.0","3.86","3.46","3.91","3.92","0.6","14975"
"Eduardo Rodriguez","DET","1","2","0","7","7","38.2","7.91","3.49","0.93",".248","56.9%","37.5%","8.7%","92.4","3.72","3.56","3.83","4.13","0.6","13164"
"Jose Quintana","PIT","1","1","0","7","7","37.0","7.30","3.41","0.49",".235","83.8%","47.1%","6.1%","90.8","2.19","4.48","3.38","3.91","0.6","11423"
"Tony Gonsolin","LAD","4","0","0","7","7","33.0","8.18","4.09","0.55",".202","87.0%","47.7%","6.5%","93.5","1.64","2.35","3.51","4.01","0.5","19388"
"Shane Bieber","CLE","1","2","0","7","7","38.2","8.38","2.79","0.93",".300","74.3%","41.1%","9.8%","91.3","3.72","4.39","3.57","3.69","0.5","19427"
"Jordan Montgomery","NYY","0","1","0","7","7","35.1","7.39","2.04","0.76",".267","79.4%","48.5%","9.1%","92.3","3.06","3.54","3.56","3.75","0.5","16511"
"Eric Lauer","MIL","3","1","0","6","6","34.2","12.72","2.08","1.82",".257","90.9%","30.8%","17.9%","94.1","2.60","3.21","3.57","2.50","0.5","19316"
"Brandon Woodruff","MIL","4","2","0","7","7","33.2","11.50","3.21","1.34",".333","61.0%","40.0%","12.8%","96.1","5.35","3.49","3.71","3.37","0.5","16162"
"Kyle Freeland","COL","1","4","0","7","7","36.2","6.38","2.70","0.98",".350","65.0%","49.6%","12.1%","91.0","4.91","4.60","4.23","4.05","0.5","16256"
"Tyler Wells","BAL","1","3","0","7","7","28.0","6.11","1.29","1.29",".303","75.7%","38.5%","9.5%","94.0","4.18","3.54","4.12","4.33","0.5","20000"
"Garrett Whitlock","BOS","1","1","1","9","5","29.2","11.22","3.03","1.21",".209","85.5%","40.8%","13.3%","95.5","2.43","2.90","3.45","3.09","0.5","20191"
"Kyle Gibson","PHI","3","1","0","7","7","37.1","7.23","3.13","0.96",".264","68.5%","53.2%","12.9%","91.9","4.10","3.51","3.91","3.66","0.5","10123"
"Robbie Ray","SEA","4","3","0","8","8","48.2","9.25","3.33","1.29",".268","69.7%","34.9%","12.7%","93.4","4.62","3.92","4.13","3.82","0.5","11486"
"Nick Pivetta","BOS","1","4","0","7","7","33.2","8.82","3.74","1.07",".312","68.4%","29.9%","10.5%","93.2","5.08","5.43","4.00","4.01","0.5","15454"
"Adam Wainwright","STL","4","3","0","7","7","40.0","7.43","3.38","0.68",".277","78.1%","53.9%","8.6%","88.4","3.15","3.84","3.53","3.76","0.5","2233"
"Brad Keller","KCR","1","3","0","7","7","43.2","5.15","1.85","1.03",".227","75.7%","51.1%","11.6%","93.9","2.89","3.30","4.05","3.91","0.5","15734"
"Jordan Lyles","BAL","2","3","0","7","7","39.0","7.38","3.23","1.15",".336","74.5%","42.6%","12.5%","92.3","4.38","4.87","4.42","4.16","0.5","7593"
"Tyler Anderson","LAD","4","0","0","7","5","35.2","8.58","1.26","1.51",".283","76.7%","31.7%","11.5%","90.4","4.04","3.39","3.95","3.77","0.5","12880"
"Yu Darvish","SDP","3","1","0","7","7","39.0","7.38","2.54","0.92",".272","66.0%","40.7%","8.9%","95.3","4.62","3.92","3.78","4.03","0.4","13074"
"Ross Stripling","TOR","0","1","0","8","5","23.1","7.33","2.31","0.77",".307","63.8%","54.5%","8.7%","91.8","4.63","3.42","3.34","3.58","0.4","13273"
"Zach Davies","ARI","2","1","0","7","7","35.1","7.13","3.82","0.76",".242","66.1%","48.5%","9.1%","","3.57","3.66","3.88","4.06","0.4","13183"
"Keegan Thompson","CHC","3","0","0","9","2","32.0","7.59","2.81","0.56",".263","93.6%","53.1%","7.4%","94.1","1.41","2.65","3.52","3.87","0.4","19795"
"Corey Kluber","TBR","1","2","0","7","7","35.2","8.83","1.51","1.26",".320","74.4%","41.0%","12.8%","90.8","4.29","5.23","3.70","3.38","0.4","2429"
"Keegan Akin","BAL","1","0","0","10","0","24.2","7.30","1.82","0.36",".203","85.2%","53.1%","5.6%","93.6","1.46","2.96","2.60","3.07","0.4","19362"
"Antonio Senzatela","COL","2","2","0","7","7","29.2","3.34","2.43","0.61",".400","70.1%","43.0%","6.7%","94.0","4.55","6.44","4.13","4.64","0.4","15488"
"Patrick Corbin","WSN","0","6","0","8","8","38.2","8.38","4.42","0.93",".347","60.3%","41.9%","9.3%","91.3","6.28","5.97","4.20","4.38","0.4","9323"
"Alex Wood","SFG","3","2","0","7","7","34.1","9.17","2.62","1.05",".347","76.6%","50.5%","19.0%","","3.93","4.42","3.61","2.93","0.4","13781"
"Daulton Jefferies","OAK","1","6","0","7","7","35.1","5.86","1.27","1.02",".302","64.4%","45.4%","8.9%","92.8","4.84","3.37","3.85","4.13","0.4","19345"
"Lucas Giolito","CHW","2","1","0","5","5","26.2","12.49","3.04","1.69",".296","95.7%","32.2%","19.2%","93.7","2.70","3.42","3.76","2.66","0.4","15474"
"Trevor Rogers","MIA","2","4","0","7","7","32.1","8.07","3.62","0.84",".305","67.0%","38.5%","8.6%","94.6","4.45","3.89","3.79","4.08","0.4","22286"
"Luis Severino","NYY","3","0","0","7","7","34.2","9.87","2.86","1.30",".278","77.8%","42.4%","13.5%","96.6","3.63","2.71","3.89","3.48","0.4","15890"
"Jon Gray","TEX","1","1","0","5","5","22.0","9.41","3.27","0.82",".317","58.8%","49.2%","11.8%","95.4","5.73","3.81","3.40","3.28","0.4","14916"
"Jesus Luzardo","MIA","2","3","0","6","6","29.0","12.72","4.97","1.24",".241","70.4%","38.7%","16.7%","97.2","4.03","3.51","3.70","3.05","0.4","19959"
"Dylan Bundy","MIN","3","2","0","6","6","28.0","8.04","2.25","1.29",".310","66.9%","46.0%","12.1%","89.5","5.14","3.14","3.90","3.67","0.4","12917"
"Cal Quantrill","CLE","1","2","0","6","6","34.1","5.24","3.93","0.52",".257","66.4%","39.4%","5.0%","92.5","3.93","4.57","4.07","4.92","0.4","19312"
"Cristian Javier","HOU","2","1","0","7","3","25.1","10.66","3.20","0.71",".288","78.0%","29.3%","6.5%","93.7","3.20","3.32","3.16","3.82","0.4","17606"
"Michael Wacha","BOS","3","0","0","5","5","26.0","6.58","3.81","0.69",".162","94.3%","44.3%","8.0%","93.4","1.38","3.12","3.89","4.21","0.4","14078"
"Michael Lorenzen","LAA","4","2","0","6","6","35.1","6.11","2.80","1.02",".242","75.6%","54.9%","11.1%","95.5","3.57","3.42","4.22","4.15","0.3","14843"
"Dillon Peters","PIT","3","2","0","11","4","20.1","6.64","4.43","0.00",".173","52.6%","44.2%","0.0%","93.1","3.98","3.74","3.08","4.37","0.3","18790"
"Kyle Hendricks","CHC","2","3","0","8","8","44.2","6.45","3.02","1.21",".265","77.1%","37.5%","10.7%","87.2","4.03","4.75","4.61","4.58","0.3","12049"
"Wil Crowe","PIT","2","2","1","13","0","21.0","8.57","4.29","0.00",".250","69.2%","41.8%","0.0%","95.0","2.57","2.48","2.89","4.27","0.3","19800"
"Aaron Ashby","MIL","0","3","1","8","3","27.1","10.87","5.60","0.66",".299","69.9%","63.8%","11.8%","95.7","3.62","3.07","3.60","3.50","0.3","23550"
"Erick Fedde","WSN","2","2","0","7","7","34.0","8.47","4.76","1.06",".302","74.9%","41.4%","11.8%","","4.24","4.48","4.32","4.17","0.3","17425"
"Cody Poteet","MIA","0","0","0","9","1","21.0","7.71","3.43","0.00",".192","94.4%","55.8%","0.0%","95.0","0.43","2.44","2.51","3.49","0.3","18769"
"Austin Gomber","COL","2","3","0","7","7","39.0","7.38","3.00","1.38",".276","68.2%","47.2%","16.7%","91.1","4.38","4.81","4.44","3.71","0.3","16561"
"JT Brubaker","PIT","0","4","0","8","8","36.0","10.75","4.75","1.25",".287","55.6%","41.4%","11.6%","93.2","5.50","3.59","4.17","4.00","0.3","17578"
"Ranger Suarez","PHI","4","1","0","7","7","36.1","6.94","3.22","1.24",".286","77.3%","47.8%","13.2%","93.9","3.72","4.45","4.49","4.14","0.3","17277"
"Humberto Castellanos","ARI","2","1","0","8","6","30.1","6.23","2.37","0.89",".272","69.0%","38.7%","7.7%","89.2","4.15","3.66","4.07","4.56","0.3","21183"
"Jakob Junis","SFG","1","1","0","4","2","20.2","7.84","1.74","0.87",".255","93.4%","47.4%","9.1%","91.4","1.74","4.22","3.33","3.53","0.3","13619"
"Marcus Stroman","CHC","1","3","0","5","5","26.1","7.52","2.39","1.37",".267","55.1%","45.6%","14.8%","93.0","5.13","4.66","4.18","3.62","0.2","13431"
"Kyle Bradish","BAL","1","2","0","4","4","21.1","9.28","2.53","1.69",".352","69.7%","41.4%","18.2%","","5.06","3.92","4.44","3.42","0.2","24586"
"Bryse Wilson","PIT","0","2","0","7","4","27.0","7.33","4.00","1.00",".322","56.7%","44.9%","10.7%","93.2","5.67","5.23","4.23","4.21","0.2","19990"
"Drew Smyly","CHC","1","4","0","6","6","29.2","6.37","1.82","1.52",".309","81.8%","52.0%","15.6%","","3.64","3.87","4.47","3.76","0.2","11760"
"Josh Winder","MIN","2","2","0","7","3","29.1","7.06","2.76","1.23",".271","73.2%","38.2%","12.9%","94.4","3.68","4.51","4.31","3.99","0.2","24606"
"Daniel Lynch","KCR","2","2","0","6","6","30.0","8.70","3.90","1.20",".272","81.9%","35.3%","9.1%","94.2","3.30","3.95","4.38","4.67","0.2","21537"
"Jose Urquidy","HOU","3","1","0","7","7","33.2","5.35","1.07","1.60",".342","77.5%","33.6%","10.3%","93.8","4.81","6.80","4.66","4.71","0.2","18413"
"Steven Matz","STL","3","3","0","8","8","37.1","10.61","1.93","1.93",".350","67.0%","36.9%","21.1%","","6.03","3.89","4.24","2.85","0.2","13361"
"Taijuan Walker","NYM","1","0","0","5","5","23.0","4.70","2.74","0.78",".260","71.4%","46.7%","8.3%","94.2","3.52","3.92","4.08","4.39","0.2","11836"
"German Marquez","COL","1","3","0","7","7","38.0","7.58","2.61","1.66",".339","58.9%","51.6%","21.2%","95.3","6.16","4.87","4.74","3.54","0.2","15038"
"Charlie Morton","ATL","2","3","0","7","7","34.2","8.31","4.67","0.78",".296","68.3%","36.0%","7.1%","95.0","4.93","4.63","4.27","4.81","0.2","4676"
"Reid Detmers","LAA","2","1","0","7","7","34.2","6.23","2.60","1.30",".172","65.4%","39.8%","12.2%","93.2","4.15","4.14","4.61","4.36","0.2","27468"
"Ian Anderson","ATL","3","2","0","7","7","36.0","6.25","4.50","1.00",".243","75.5%","47.7%","10.8%","93.6","3.75","3.49","4.64","4.61","0.2","19951"
"Yusei Kikuchi","TOR","2","1","0","7","7","32.0","9.28","5.63","1.13",".215","73.4%","50.0%","12.9%","95.0","3.38","4.75","4.52","4.23","0.2","20633"
"Mitch Keller","PIT","0","5","0","7","7","32.2","7.16","3.31","1.38",".317","61.4%","47.2%","12.5%","96.4","6.61","3.81","4.68","4.37","0.2","17594"
"Jose Berrios","TOR","3","2","0","8","8","41.0","6.15","2.85","1.32",".313","75.1%","32.4%","10.7%","94.2","4.83","6.80","4.72","4.69","0.2","14168"
"Tanner Houck","BOS","2","3","0","8","4","26.2","7.76","4.05","0.68",".292","62.5%","45.2%","9.5%","95.4","5.40","4.19","4.02","4.13","0.1","19879"
"Madison Bumgarner","ARI","2","2","0","8","8","35.1","5.35","3.57","1.02",".222","82.4%","37.3%","7.7%","91.0","2.29","3.92","4.56","5.11","0.1","5524"
"Julio Urias","LAD","2","3","0","7","7","36.0","6.50","2.00","1.75",".248","74.5%","36.4%","13.7%","92.9","3.00","3.09","4.92","4.34","0.1","14765"
"Zach Thompson","PIT","2","3","0","7","6","26.1","7.52","4.44","1.37",".280","56.5%","45.9%","13.8%","92.9","5.47","4.51","4.98","4.52","0.1","16094"
"Michael Pineda","DET","1","2","0","5","5","22.1","4.84","1.61","1.61",".235","87.0%","38.9%","12.1%","90.6","3.22","6.01","4.87","4.58","0.1","5372"
"Cole Irvin","OAK","2","1","0","5","5","27.2","5.86","2.28","1.30",".253","87.6%","49.4%","13.3%","91.8","2.93","4.54","4.53","4.14","0.1","19244"
"Jordan Hicks","STL","1","3","0","7","5","21.2","8.72","4.98","0.83",".216","71.4%","58.5%","14.3%","98.0","4.15","4.60","4.42","4.11","0.0","19618"
"Chris Flexen","SEA","1","6","0","7","7","39.1","6.64","2.75","1.60",".276","78.2%","37.5%","13.0%","91.9","4.35","5.03","4.91","4.49","0.0","13896"
"Dallas Keuchel","CHW","2","3","0","6","6","26.0","5.54","5.19","1.04",".351","64.1%","55.7%","13.0%","88.2","5.54","3.97","5.08","4.80","0.0","9434"
"Zach Plesac","CLE","1","3","0","7","7","38.2","5.35","2.79","1.40",".274","68.0%","38.0%","11.8%","91.7","4.42","5.64","5.00","4.79","-0.1","19979"
"Josiah Gray","WSN","4","3","0","7","7","37.1","9.40","4.34","1.93",".256","82.9%","21.9%","16.3%","93.8","4.34","4.90","5.39","4.41","-0.1","24580"
"Dakota Hudson","STL","3","2","0","7","7","35.1","5.09","4.33","1.02",".248","82.9%","56.9%","12.5%","92.2","3.06","5.36","5.04","4.81","-0.1","19206"
"Taylor Hearn","TEX","2","2","0","7","7","29.2","9.40","4.85","1.52",".345","75.6%","37.9%","17.9%","94.2","5.46","6.97","5.00","4.11","-0.1","18325"
"Aaron Sanchez","WSN","2","3","0","5","5","22.2","4.76","2.38","1.59",".359","53.9%","51.3%","16.0%","92.8","7.94","4.54","5.25","4.47","-0.1","11490"
"Vince Velasquez","CHW","2","3","0","6","6","27.2","8.13","3.90","1.95",".296","72.3%","33.7%","15.4%","93.6","5.53","6.60","5.51","4.63","-0.1","11189"
"Nick Martinez","SDP","2","2","0","6","6","30.2","8.80","4.40","1.76",".295","82.0%","46.4%","20.0%","93.0","4.40","5.40","5.24","4.04","-0.1","12730"
"Josh Rogers","WSN","2","2","0","10","3","20.1","5.31","3.10","1.77",".226","72.2%","38.5%","13.3%","90.7","4.87","4.30","5.49","4.97","-0.1","18510"
"Aaron Civale","CLE","1","3","0","6","6","24.2","9.85","2.92","2.19",".382","44.0%","24.7%","15.0%","90.7","9.85","5.54","5.52","4.59","-0.1","19479"
"Spenser Watkins","BAL","0","1","0","7","7","30.0","4.20","4.50","1.50",".280","70.5%","43.8%","12.8%","92.5","5.10","6.85","6.12","5.74","-0.2","17489"
"Joan Adon","WSN","1","7","0","8","8","36.2","7.61","5.65","1.23",".299","67.2%","47.3%","14.3%","94.9","6.38","6.40","5.46","5.00","-0.2","22925"
"Carlos Hernandez","KCR","0","3","0","6","6","26.2","4.39","5.06","1.35",".361","54.7%","41.0%","10.3%","95.8","9.11","6.24","5.86","5.92","-0.2","22713"
"Matt Brash","SEA","1","3","0","5","5","20.0","8.55","7.65","1.35",".382","66.1%","56.9%","25.0%","96.3","7.65","7.15","5.83","4.71","-0.2","25756"
"Chris Archer","MIN","0","1","0","7","7","26.1","8.20","4.78","2.05",".236","83.9%","34.6%","17.1%","93.6","4.10","4.94","5.82","4.68","-0.3","6345"
"Beau Brieske","DET","0","3","0","5","5","26.1","5.13","3.76","2.39",".210","75.4%","36.4%","15.9%","94.5","5.13","5.43","6.65","5.50","-0.4","26079"
"Nathan Eovaldi","BOS","1","2","0","8","8","41.2","9.07","1.51","3.02",".265","89.5%","42.1%","27.5%","97.0","4.32","4.90","6.01","3.33","-0.4","9132"
"Marco Gonzales","SEA","1","4","0","7","7","32.0","6.19","3.66","2.25",".272","74.7%","40.9%","19.0%","88.7","3.38","5.40","6.27","4.83","-0.4","15467"
"Hunter Greene","CIN","1","6","0","7","7","33.1","11.88","5.40","2.97",".269","77.1%","28.1%","22.4%","98.7","6.21","4.54","6.62","4.36","-0.5","22182"
"Elieser Hernandez","MIA","2","3","0","7","7","33.2","8.02","3.21","2.67",".263","64.9%","32.7%","17.5%","91.3","6.15","4.45","6.50","4.97","-0.5","16933"
"Vladimir Gutierrez","CIN","0","5","0","6","6","26.0","6.58","6.58","2.08",".333","65.8%","38.6%","16.2%","92.7","8.65","5.43","7.51","6.46","-0.6","19278"
