"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Andrew Knapp","PHI","74","160","2","12","8","0","11.3%","31.9%",".110",".325",".213",".318",".324",".282","","69","0.4","-6.0","2.9","0.2","14942"
"Chad Pinder","OAK","124","370","13","45","47","0","5.4%","23.8%",".176",".284",".240",".290",".416",".298",".308","87","-1.5","-7.6","-3.8","0.2","15191"
"Joe Musgrove","PIT","46","61","0","8","3","0","3.3%","31.1%",".078",".250",".157",".189",".235",".183","","7","0.0","-7.5","7.5","0.2","12970"
"Franchy Cordero","SDP","9","20","0","2","1","1","20.0%","35.0%",".067",".556",".333",".450",".400",".373","","134","0.8","1.7","-0.5","0.2","14567"
"Jeimer Candelario","DET","94","386","8","33","32","3","11.1%","25.6%",".134",".262",".203",".306",".337",".283",".306","73","0.3","-13.0","0.9","0.2","13621"
"Robel Garcia","CHC","31","80","5","8","11","0","8.8%","43.8%",".292",".303",".208",".275",".500",".315","","92","0.2","-0.7","0.0","0.2","13167"
"Adam Wainwright","STL","31","59","0","6","2","0","3.4%","33.9%",".060",".258",".160",".189",".220",".177","","6","0.0","-7.3","7.3","0.2","2233"
"Cristhian Adames","SFG","10","24","0","1","2","0","8.3%","33.3%",".045",".500",".318",".375",".364",".326","","103","0.3","0.4","0.5","0.2","6013"
"Roman Quinn","PHI","44","122","4","18","11","8","9.8%","27.9%",".157",".271",".213",".298",".370",".289","","74","2.2","-1.9","-0.4","0.2","13546"
"Brian O'Grady","CIN","28","48","2","4","3","0","8.3%","35.4%",".238",".261",".190",".292",".429",".305","","81","0.3","-0.9","0.9","0.1","16729"
"Danny Mendick","CHW","16","40","2","6","4","0","2.5%","27.5%",".154",".385",".308",".325",".462",".332","","107","-0.6","-0.3","0.3","0.1","18889"
"Charlie Culberson","ATL","108","144","5","14","20","0","4.2%","30.6%",".178",".345",".259",".294",".437",".306","","84","0.0","-3.0","-0.1","0.1","3298"
"Austin Riley","ATL","80","297","18","41","49","0","5.4%","36.4%",".245",".293",".226",".279",".471",".307","","85","-1.1","-7.0","-1.1","0.1","18360"
"Zack Godley","- - -","33","23","0","3","2","0","13.0%","43.5%",".000",".333",".158",".273",".158",".213","","24","0.0","-2.3","2.8","0.1","14862"
"Seth Mejias-Brean","SDP","14","33","2","3","5","0","9.1%","27.3%",".267",".263",".233",".303",".500",".333","","108","-0.2","0.1","0.0","0.1","13905"
"Jake Lamb","ARI","78","226","6","26","30","1","14.2%","24.3%",".160",".234",".193",".323",".353",".297",".344","79","1.5","-4.9","-1.1","0.1","13329"
"Ryan McBroom","KCR","23","83","0","8","6","0","8.4%","30.1%",".067",".440",".293",".361",".360",".318","","95","-0.4","-0.9","-1.0","0.1","16524"
"Aaron Nola","PHI","34","70","0","6","2","0","8.6%","50.0%",".034",".292",".119",".200",".153",".168","","-5","0.0","-9.7","8.6","0.1","16149"
"Tyler Chatwood","CHC","41","21","0","1","1","0","4.8%","28.6%",".111",".250",".167",".211",".278",".210","","23","0.0","-2.1","2.6","0.1","4338"
"Vince Velasquez","PHI","35","36","1","2","3","0","5.6%","25.0%",".100",".300",".233",".281",".333",".267",".249","60","0.0","-1.9","1.9","0.1","11189"
"Trevor Williams","PIT","26","44","0","2","4","0","4.5%","38.6%",".000",".316",".167",".211",".167",".174","","1","0.0","-5.8","5.4","0.1","16977"
"Beau Taylor","- - -","11","30","2","3","2","0","13.3%","23.3%",".240",".125",".160",".300",".400",".303",".398","92","0.0","-0.4","0.3","0.1","12384"
"Christian Arroyo","TBR","16","57","2","8","7","0","8.8%","31.6%",".160",".300",".220",".304",".380",".296","","87","0.1","-0.9","-0.3","0.1","16434"
"Kyle Hendricks","CHC","31","64","0","1","5","0","3.1%","45.3%",".019",".320",".148",".193",".167",".165","","-7","0.0","-9.1","7.9","0.1","12049"
"Pablo Lopez","MIA","22","36","0","1","3","0","0.0%","52.8%",".057",".375",".171",".171",".229",".169","","1","0.0","-4.7","4.4","0.1","17085"
"Rich Hill","LAD","13","20","0","0","1","0","5.0%","45.0%",".056",".333",".167",".211",".222",".192","","15","0.0","-2.3","2.5","0.1","4806"
"Jeff Hoffman","COL","18","24","0","2","1","0","0.0%","37.5%",".000",".417",".238",".238",".238",".207","","9","0.0","-2.9","3.0","0.1","17432"
"Max Scherzer","WSN","29","61","0","6","2","2","0.0%","44.3%",".000",".357",".182",".182",".182",".158","","-12","0.4","-8.6","7.5","0.1","3137"
"Garrett Hampson","COL","105","327","8","40","27","15","7.3%","26.9%",".137",".322",".247",".302",".385",".292","","64","4.2","-11.2","1.6","0.1","19262"
"Ross Stripling","LAD","32","24","0","1","1","0","8.3%","29.2%",".000",".231",".150",".227",".150",".181","","8","0.0","-2.9","3.0","0.1","13273"
"Sonny Gray","CIN","34","60","0","3","3","0","3.3%","31.7%",".043",".259",".152",".188",".196",".169","","-8","0.0","-8.6","7.4","0.1","12768"
"Trevor Bauer","- - -","34","22","0","1","0","0","9.1%","54.5%",".000",".429",".158",".238",".158",".190","","6","0.0","-2.7","2.7","0.1","12703"
"Tanner Roark","- - -","31","34","1","2","2","0","0.0%","38.2%",".121",".211",".152",".152",".273",".175",".179","-4","0.0","-4.7","4.2","0.1","8753"
"Jhoulys Chacin","- - -","25","25","1","2","1","0","4.0%","40.0%",".125",".154",".125",".160",".250",".175","","-1","0.0","-3.3","3.1","0.1","2608"
"Michael Perez","TBR","22","55","0","6","2","0","14.5%","34.5%",".109",".370",".217",".345",".326",".303","","92","-0.4","-1.0","-0.5","0.0","12977"
"Ryan Zimmerman","WSN","52","190","6","20","27","0","8.9%","20.5%",".158",".297",".257",".321",".415",".313","","90","0.7","-1.9","-3.7","0.0","4220"
"Rene Rivera","NYM","9","20","1","2","3","0","15.0%","20.0%",".176",".250",".235",".350",".412",".331","","109","0.1","0.3","-0.5","0.0","3648"
"Sheldon Neuse","OAK","25","61","0","3","7","0","6.6%","31.1%",".054",".368",".250",".295",".304",".262",".296","63","-0.3","-3.2","1.5","0.0","19635"
"Michael Wacha","STL","29","39","0","3","3","0","0.0%","53.8%",".028",".400",".167",".167",".194",".155","","-9","0.0","-5.6","4.8","0.0","14078"
"Garrett Stubbs","HOU","19","39","0","8","2","1","10.3%","17.9%",".086",".250",".200",".282",".286",".254",".276","56","1.0","-1.2","0.2","0.0","18067"
"Rajai Davis","NYM","29","26","1","4","8","0","3.8%","19.2%",".200",".211",".200",".231",".400",".262",".300","64","-0.1","-1.4","0.9","0.0","3708"
"Tim Beckham","SEA","88","328","15","39","47","1","6.4%","31.1%",".224",".305",".237",".293",".461",".315","","99","-2.4","-2.7","-8.8","0.0","7949"
"Zach Davies","MIL","35","55","0","3","3","0","1.8%","45.5%",".038",".296",".154",".170",".192",".157","","-12","0.0","-8.1","6.8","0.0","13183"
"Ryan Goins","CHW","52","163","2","13","10","0","10.4%","27.0%",".097",".347",".250",".333",".347",".298","","84","-1.4","-4.7","-0.8","0.0","9807"
"Ryan Court","SEA","12","25","1","1","5","0","4.0%","44.0%",".167",".333",".208",".240",".375",".258",".291","61","0.2","-1.1","0.5","0.0","12268"
"Noah Syndergaard","NYM","32","69","2","6","2","0","4.3%","68.1%",".108",".250",".092",".132",".200",".144","","-14","0.0","-10.4","8.5","0.0","11762"
"Mason Williams","BAL","11","34","0","4","2","1","8.8%","17.6%",".033",".320",".267",".324",".300",".276",".341","67","0.7","-0.8","-0.1","0.0","11859"
"Jake Arrieta","PHI","24","50","0","2","4","0","2.0%","38.0%",".022",".269",".156",".174",".178",".155",".199","-14","0.0","-7.5","6.1","0.0","4153"
"Cole Hamels","CHC","27","46","0","1","4","0","2.2%","32.6%",".024",".214",".143",".178",".167",".155",".208","-13","0.0","-6.9","5.7","0.0","4972"
"Francisco Cervelli","- - -","48","160","3","15","12","1","8.1%","25.6%",".135",".278",".213",".302",".348",".285","","73","-1.9","-7.6","2.7","0.0","5275"
"Dereck Rodriguez","SFG","29","29","0","1","0","0","0.0%","58.6%",".000",".417",".172",".172",".172",".150","","-13","0.0","-4.3","3.6","0.0","14509"
"Jesus Aguilar","- - -","131","369","12","39","50","0","11.7%","22.0%",".153",".272",".236",".325",".389",".307",".335","89","-1.9","-7.4","-4.7","0.0","11342"
"Daniel Robertson","TBR","74","237","2","23","19","2","10.1%","24.9%",".082",".288",".213",".312",".295",".275","","73","-2.9","-11.1","2.7","0.0","14145"
"Ryan LaMarre","MIN","14","26","2","3","3","1","11.5%","19.2%",".261",".188",".217",".308",".478",".329",".364","104","-0.2","-0.1","-0.7","0.0","10700"
"Kelvin Gutierrez","KCR","20","79","1","4","11","1","6.3%","30.4%",".096",".367",".260",".304",".356",".284","","72","0.3","-2.6","-0.1","0.0","17468"
"Michael Lorenzen","CIN","105","53","1","6","6","5","9.4%","32.1%",".104",".300",".208",".283",".313",".262","","53","0.1","-3.2","1.6","0.0","14843"
"Caleb Joseph","ARI","20","41","0","5","3","0","2.4%","24.4%",".053",".286",".211",".250",".263",".227",".262","33","0.2","-3.5","2.2","0.0","7087"
"Jason Martin","PIT","20","40","0","5","2","2","10.0%","25.0%",".056",".346",".250",".325",".306",".282",".351","72","1.6","0.1","-1.3","0.0","16429"
"Kyle Farmer","CIN","97","197","9","22","27","4","5.1%","29.9%",".180",".284",".230",".279",".410",".289","","70","1.6","-6.1","-0.1","0.0","14813"
"Chris Archer","PIT","23","41","0","1","2","0","7.3%","46.3%",".000",".250",".114",".184",".114",".146","","-17","0.0","-6.4","5.0","0.0","6345"
"Jace Peterson","BAL","29","108","2","14","11","4","5.6%","22.2%",".110",".267",".220",".269",".330",".258",".291","54","1.6","-4.7","0.7","0.0","12325"
"Kevin Cron","ARI","39","78","6","12","16","0","5.1%","35.9%",".310",".237",".211",".269",".521",".321",".348","95","-0.5","-1.0","-1.6","0.0","16211"
"Breyvic Valera","- - -","17","52","1","7","6","0","7.7%","13.5%",".149",".256",".234",".308",".383",".297","","84","0.2","-0.9","-1.1","0.0","12758"
"Zach Eflin","PHI","32","52","0","3","2","0","0.0%","51.9%",".020",".348",".160",".160",".180",".146","","-19","0.0","-8.2","6.4","0.0","13774"
"Jorge Bonifacio","KCR","5","21","0","3","3","0","4.8%","33.3%",".150",".538",".350",".381",".500",".372","","132","-0.3","0.5","-1.5","0.0","12174"
"Luke Weaver","ARI","13","21","1","2","4","0","0.0%","52.4%",".158",".125",".105",".100",".263",".140","","-24","0.0","-3.4","2.6","0.0","16918"
"Anthony Alford","TOR","16","30","1","3","1","2","3.3%","36.7%",".107",".250",".179",".233",".286",".228","","36","0.7","-1.8","0.5","0.0","14329"
"Carlos Gomez","NYM","34","99","3","10","10","4","7.1%","30.3%",".140",".259",".198",".278",".337",".268",".282","68","0.1","-4.1","0.6","0.0","4881"
"Wilmer Difo","WSN","43","144","2","15","8","0","8.3%","20.1%",".061",".310",".252",".315",".313",".270","","61","-0.3","-7.7","2.8","0.0","14320"
"Jose Pirela","- - -","14","24","1","1","2","0","8.3%","29.2%",".182",".214",".182",".250",".364",".262","","59","-0.3","-1.7","0.6","0.0","5485"
"Josh VanMeter","CIN","95","260","8","33","23","9","11.2%","21.5%",".171",".279",".237",".327",".408",".316",".319","88","-0.9","-5.0","-3.5","0.0","15170"
"Tyler Beede","SFG","25","43","0","2","1","0","7.0%","53.5%",".000",".267",".105",".171",".105",".135","","-22","0.0","-6.9","5.3","0.0","16981"
"Tzu-Wei Lin","BOS","13","22","0","3","1","1","9.1%","27.3%",".100",".286",".200",".273",".300",".252","","48","0.0","-1.5","0.4","0.0","14678"
"Raimel Tapia","COL","138","447","9","54","44","9","4.7%","22.4%",".141",".341",".275",".309",".415",".307","","74","-0.2","-15.6","0.9","0.0","14350"
"Dinelson Lamet","SDP","14","24","0","1","0","0","0.0%","45.8%",".000",".300",".143",".143",".143",".124","","-29","0.0","-4.1","3.0","0.0","17186"
"Scott Heineman","TEX","25","85","2","8","7","1","10.6%","23.5%",".160",".264",".213",".306",".373",".295","","73","-1.2","-4.2","0.7","0.0","14453"
"Dallas Keuchel","ATL","19","41","0","0","2","0","2.4%","68.3%",".026",".500",".132",".154",".158",".138","","-26","0.0","-6.8","5.0","0.0","9434"
"Trevor Richards","- - -","31","34","0","2","0","0","5.9%","52.9%",".000",".250",".100",".156",".100",".125","","-28","0.0","-5.8","4.2","0.0","19309"
"Joe Ross","WSN","28","20","0","1","0","0","5.0%","50.0%",".000",".222",".105",".150",".105",".121","","-36","0.0","-3.6","2.5","0.0","12972"
"Jonathan Davis","TOR","37","95","2","8","6","3","5.3%","25.3%",".084",".224",".181",".266",".265",".240",".294","45","1.1","-5.6","1.6","-0.1","15104"
"Kyle Freeland","COL","22","31","0","1","0","0","9.7%","48.4%",".000",".250",".087",".192",".087",".147","","-31","0.0","-5.4","3.8","-0.1","16256"
"Erick Fedde","WSN","21","20","0","1","0","0","0.0%","30.0%",".000",".222",".133",".133",".133",".116",".169","-40","0.0","-3.7","2.5","-0.1","17425"
"Jose Martinez","STL","128","373","10","45","42","3","9.4%","22.0%",".141",".328",".269",".340",".410",".323",".345","102","-0.6","0.1","-12.7","-0.1","7996"
"Dom Nunez","COL","16","43","2","4","4","0","7.0%","39.5%",".231",".238",".179",".233",".410",".264","","46","0.4","-2.7","0.6","-0.1","15055"
"Matt Duffy","TBR","46","169","1","12","12","0","11.2%","17.2%",".075",".305",".252",".343",".327",".299","","90","-2.0","-4.3","-2.5","-0.1","13836"
"Rangel Ravelo","STL","29","43","2","4","7","0","7.0%","27.9%",".205",".231",".205",".256",".410",".276",".349","71","-0.7","-2.4","0.3","-0.1","10839"
"Walker Buehler","LAD","30","66","1","5","2","0","6.1%","50.0%",".051",".160",".085",".143",".136",".130","","-26","0.0","-11.0","8.1","-0.1","19374"
"Shaun Anderson","SFG","28","28","0","0","0","0","0.0%","67.9%",".040",".333",".080",".115",".120",".108","","-40","0.0","-5.2","3.4","-0.1","19453"
"Charlie Tilson","CHW","54","157","1","16","12","4","6.4%","24.2%",".056",".305",".229",".293",".285",".256",".273","56","3.2","-5.7","-0.8","-0.1","12983"
"Josh Rojas","ARI","41","157","2","17","16","4","11.5%","26.1%",".094",".295",".217",".312",".312",".279",".320","67","-0.8","-7.6","1.7","-0.1","19734"
"Erick Mejia","KCR","9","27","0","3","4","0","14.8%","25.9%",".045",".313",".227",".333",".273",".276","","67","0.0","-1.2","-0.7","-0.1","15817"
"Miles Mikolas","STL","32","62","0","1","2","0","0.0%","43.5%",".017",".250",".136",".136",".153",".124","","-29","0.0","-10.6","7.6","-0.1","9803"
"Adrian Houser","MIL","35","27","0","0","0","0","7.4%","63.0%",".045",".200",".045",".125",".091",".108",".124","-44","0.0","-5.1","3.3","-0.1","12718"
"Eric Lauer","SDP","30","48","0","1","0","0","2.1%","47.9%",".050",".235",".100",".122",".150",".119",".151","-33","0.0","-8.4","5.9","-0.1","19316"
"Chase Anderson","MIL","33","44","0","1","1","0","4.5%","54.5%",".025",".250",".100",".143",".125",".124","","-34","0.0","-7.8","5.4","-0.1","6895"
"Taylor Davis","CHC","7","20","1","2","4","0","10.0%","20.0%",".167",".154",".167",".250",".333",".253",".340","51","0.1","-1.2","-0.5","-0.1","12782"
"Ben Zobrist","CHC","47","176","1","24","17","0","13.1%","13.6%",".053",".299",".260",".358",".313",".303","","83","-1.9","-5.8","-0.9","-0.1","7435"
"Willians Astudillo","MIN","58","204","4","28","21","0","2.5%","3.9%",".111",".258",".268",".299",".379",".288",".311","77","-2.4","-8.5","0.0","-0.1","15608"
"Nick Dini","KCR","20","64","2","11","6","0","6.3%","28.1%",".161",".243",".196",".270",".357",".269",".279","62","-0.1","-3.2","-0.1","-0.1","18206"
"Ian Kinsler","SDP","87","281","9","28","22","2","6.8%","19.2%",".151",".240",".217",".278",".368",".277","","71","-3.2","-13.9","3.8","-0.1","6195"
"JB Shuck","PIT","27","57","0","4","2","1","14.0%","17.5%",".043",".270",".213",".339",".255",".279",".302","69","0.2","-2.1","-0.8","-0.1","6677"
"Zac Gallen","- - -","15","24","0","2","1","0","0.0%","33.3%",".000",".182",".105",".105",".105",".092","","-53","0.0","-4.8","3.0","-0.1","19291"
"Jeff Samardzija","SFG","32","56","0","1","1","0","0.0%","53.6%",".040",".300",".120",".120",".160",".118","","-33","0.0","-9.9","6.9","-0.1","3254"
"Nick Pivetta","PHI","30","27","0","1","0","0","3.7%","70.4%",".000",".333",".080",".115",".080",".093","","-54","0.0","-5.5","3.3","-0.1","15454"
"Elieser Hernandez","MIA","21","24","0","0","0","0","4.2%","41.7%",".000",".111",".053",".100",".053",".078",".078","-59","0.0","-5.0","3.0","-0.1","16933"
"Erik Gonzalez","PIT","53","156","1","15","6","4","5.8%","23.7%",".063",".333",".254",".301",".317",".262","","59","-0.2","-8.8","2.4","-0.1","13369"
"Greg Bird","NYY","10","41","1","6","1","0","14.6%","39.0%",".086",".278",".171",".293",".257",".254",".289","55","0.3","-2.1","-0.8","-0.1","14131"
"Yu Chang","CLE","28","84","1","8","6","0","13.1%","26.2%",".096",".240",".178",".286",".274",".254",".298","53","-1.3","-6.4","1.9","-0.1","14773"
"Dario Agrazal","PIT","15","24","0","0","2","0","0.0%","37.5%",".000",".143",".091",".087",".091",".076",".119","-63","0.0","-5.2","3.0","-0.1","15821"
"Justin Upton","LAA","63","256","12","34","40","1","12.5%","30.5%",".201",".261",".215",".309",".416",".307","","89","-0.4","-4.0","-6.8","-0.1","5222"
"Nick Martini","- - -","32","109","1","8","7","0","12.8%","23.9%",".097",".299",".226",".330",".323",".291",".288","81","0.9","-1.8","-3.2","-0.1","12005"
"Aramis Garcia","SFG","18","46","2","5","5","0","8.7%","45.7%",".167",".211",".143",".217",".310",".217",".208","32","0.0","-4.2","1.2","-0.1","16925"
"Logan Morrison","PHI","29","38","2","5","3","0","7.9%","26.3%",".200",".217",".200",".263",".400",".280",".290","68","-0.3","-1.9","-0.8","-0.1","9205"
"Chris Paddack","SDP","26","46","0","3","2","0","0.0%","41.3%",".000",".217",".119",".119",".119",".104","","-42","0.0","-8.7","5.7","-0.1","20099"
"Mark Zagunis","CHC","30","40","0","2","5","0","10.0%","40.0%",".083",".450",".250",".325",".333",".291","","75","-0.3","-1.6","-1.2","-0.2","16565"
"Joshua Fuentes","COL","24","56","3","8","7","1","1.8%","35.7%",".182",".281",".218",".232",".400",".262","","45","0.6","-3.5","0.2","-0.2","16885"
"Adrian Sanchez","WSN","28","32","0","3","1","0","3.1%","31.3%",".000",".333",".226",".250",".226",".212","","23","0.3","-3.0","0.4","-0.2","11338"
"Gerardo Parra","- - -","119","301","9","38","48","8","6.3%","19.6%",".157",".264",".234",".293",".391",".288",".294","74","-1.4","-11.6","0.4","-0.2","8553"
"Jordan Yamamoto","MIA","16","26","0","0","1","0","3.8%","34.6%",".000",".083",".048",".091",".048",".071",".149","-63","0.0","-5.6","3.2","-0.2","17585"
"Phil Gosselin","PHI","44","68","0","5","7","0","4.4%","23.5%",".046",".347",".262",".294",".308",".263",".316","57","0.6","-3.3","-0.5","-0.2","10953"
"Tim Federowicz","TEX","29","83","4","6","7","1","6.0%","37.3%",".187",".200",".160",".213",".347",".236",".297","33","0.2","-7.0","2.4","-0.2","8609"
"Jack Mayfield","HOU","26","65","2","8","5","0","1.5%","24.6%",".172",".174",".156",".169",".328",".204","","22","0.6","-5.9","1.9","-0.2","15402"
"Luis Urias","SDP","71","249","4","27","24","0","10.0%","22.5%",".102",".284",".223",".329",".326",".294",".303","82","-2.0","-7.8","-1.8","-0.2","16622"
"Travis Jankowski","SDP","25","24","0","4","0","2","8.3%","16.7%",".000",".222",".182",".250",".182",".202","","22","-0.2","-2.6","0.2","-0.2","13768"
"Mike Leake","- - -","32","24","0","0","1","0","4.2%","45.8%",".000",".100",".048",".091",".048",".071",".124","-70","0.0","-5.4","3.0","-0.2","10130"
"Cal Quantrill","SDP","23","30","0","1","1","0","3.3%","20.0%",".000",".105",".080",".115",".080",".093","","-49","-0.4","-6.3","3.7","-0.2","19312"
"Matt Adams","WSN","111","333","20","42","56","0","6.0%","34.5%",".239",".284",".226",".276",".465",".306","","85","-1.2","-7.8","-4.6","-0.2","9393"
"Ryon Healy","SEA","47","187","7","24","26","0","7.0%","21.4%",".219",".262",".237",".289",".456",".308","","94","-2.3","-3.6","-4.9","-0.2","15447"
"Pat Valaika","COL","40","86","1","11","4","0","8.1%","39.5%",".127",".318",".190",".256",".316",".248","","36","0.4","-6.9","2.4","-0.2","14885"
"Tyler Mahle","CIN","27","41","0","4","0","0","2.4%","46.3%",".029",".200",".088",".114",".118",".104","","-51","0.0","-8.2","5.0","-0.2","16358"
"Jordan Lyles","- - -","28","48","0","3","4","0","2.1%","58.3%",".000",".235",".089",".128",".089",".104","","-46","0.0","-9.2","5.9","-0.2","7593"
"Jesus Sucre","BAL","21","67","0","3","3","0","6.0%","19.4%",".032",".265",".210",".269",".242",".231","","36","-0.4","-5.9","1.6","-0.2","5942"
"Jose Trevino","TEX","40","126","2","18","13","0","2.4%","21.4%",".125",".312",".258",".272",".383",".274","","59","-3.7","-10.3","3.9","-0.2","16725"
"Chance Sisco","BAL","59","198","8","29","20","0","11.1%","30.8%",".186",".276",".210",".333",".395",".319",".330","96","-0.4","-1.6","-7.5","-0.2","15694"
"Yangervis Solarte","SFG","28","78","1","9","7","0","5.1%","20.5%",".110",".250",".205",".247",".315",".236",".259","44","-0.2","-6.0","1.6","-0.2","5352"
"Hanley Ramirez","CLE","16","57","2","4","8","0","14.0%","29.8%",".143",".233",".184",".298",".327",".278",".297","70","-0.1","-2.3","-1.6","-0.2","8001"
"Drew Smyly","- - -","25","20","0","1","0","0","5.0%","45.0%",".000",".000",".000",".050",".000",".035",".073","-92","0.0","-5.1","2.5","-0.2","11760"
"Clayton Kershaw","LAD","29","65","0","1","1","0","1.5%","24.6%",".020",".152",".102",".120",".122",".108","","-41","0.0","-12.1","8.0","-0.2","2036"
"Jose Urena","MIA","25","22","0","1","0","0","4.5%","63.6%",".000",".000",".000",".050",".000",".035",".053","-87","0.0","-5.4","2.7","-0.2","11589"
"Anthony Bemboom","- - -","25","56","1","2","4","0","1.8%","37.5%",".074",".188",".130",".145",".204",".149","","-18","0.1","-8.3","4.3","-0.2","13854"
"Dustin Peterson","DET","17","47","0","3","6","1","4.3%","29.8%",".091",".333",".227",".277",".318",".259","","57","-0.7","-3.3","-0.4","-0.2","15189"
"Cole Tucker","PIT","56","159","2","16","13","0","6.3%","25.2%",".150",".276",".211",".266",".361",".264",".278","60","0.9","-7.4","0.3","-0.2","17326"
"Harold Ramirez","MIA","119","446","11","54","50","2","4.0%","20.4%",".140",".328",".276",".312",".416",".308",".301","92","0.5","-4.1","-12.2","-0.2","14387"
"David Freitas","- - -","17","20","0","2","1","0","20.0%","25.0%",".000",".091",".067",".250",".067",".182",".292","5","-0.3","-2.8","0.1","-0.2","10619"
"Andrew Knizner","STL","18","58","2","7","7","2","6.9%","24.1%",".151",".270",".226",".293",".377",".289","","79","-0.2","-1.8","-2.1","-0.2","19514"
"Mike Soroka","ATL","29","63","0","2","3","0","3.2%","34.9%",".000",".133",".077",".143",".077",".112",".173","-43","0.0","-11.9","7.7","-0.2","18383"
"Yairo Munoz","STL","88","181","2","20","13","8","3.9%","20.4%",".087",".328",".267",".298",".355",".281","","74","-0.2","-6.4","-1.5","-0.2","16313"
"Max Moroff","CLE","20","35","1","3","4","1","5.7%","45.7%",".125",".200",".125",".176",".250",".185",".218","7","0.9","-3.3","-0.1","-0.2","14556"
"Jedd Gyorko","- - -","62","101","2","6","9","2","8.9%","23.8%",".076",".212",".174",".248",".250",".224",".276","36","-0.5","-9.0","3.7","-0.2","10816"
"Jared Walsh","LAA","34","87","1","6","5","0","6.9%","40.2%",".127",".349",".203",".276",".329",".259",".292","57","0.2","-4.7","-0.6","-0.2","18607"
"Sandy Alcantara","MIA","32","63","0","2","4","0","1.6%","73.0%",".017",".417",".086",".117",".103",".102","","-43","0.0","-11.9","7.7","-0.2","18684"
"Marcus Stroman","- - -","32","25","0","2","0","0","0.0%","52.0%",".000",".100",".043",".043",".043",".038",".099","-82","0.0","-6.0","3.1","-0.2","13431"
"Gio Gonzalez","MIL","19","28","0","1","0","0","3.6%","60.7%",".000",".125",".040",".077",".040",".060",".077","-76","0.0","-6.5","3.4","-0.2","7448"
"Brandon Drury","TOR","120","447","15","43","41","0","5.6%","25.3%",".163",".259",".218",".262",".380",".271",".306","66","1.6","-18.1","-0.3","-0.2","11615"
"Ryan Flaherty","CLE","14","22","0","4","1","0","0.0%","31.8%",".095",".214",".143",".143",".238",".157",".274","-12","0.2","-3.0","-0.1","-0.2","7888"
"Sandy Leon","BOS","65","191","5","14","19","0","6.8%","24.6%",".105",".231",".192",".251",".297",".239","","39","-0.2","-15.0","5.8","-0.2","5273"
"Andrew Velazquez","- - -","15","24","0","3","0","1","4.2%","54.2%",".087",".200",".087",".125",".174",".130",".158","-28","0.3","-3.6","0.4","-0.2","14196"
"Vladimir Guerrero Jr.","TOR","123","514","15","52","69","0","8.9%","17.7%",".162",".308",".272",".339",".433",".329","","105","-6.6","-3.4","-17.5","-0.2","19611"
"Wilfredo Tovar","LAA","31","88","0","5","5","0","5.7%","17.0%",".060",".235",".193",".239",".253",".217",".257","28","0.6","-7.5","2.0","-0.2","10416"
"Kaleb Cowart","LAA","9","26","0","1","1","1","3.8%","26.9%",".120",".222",".160",".192",".280",".200",".211","17","-0.3","-3.1","-0.2","-0.2","11494"
"Patrick Corbin","WSN","33","72","0","3","4","0","4.2%","37.5%",".015",".158",".092",".132",".108",".112","","-42","0.0","-13.5","8.9","-0.2","9323"
"Anibal Sanchez","WSN","30","56","0","1","1","0","0.0%","42.9%",".000",".214",".115",".115",".115",".100","","-50","0.0","-11.1","6.9","-0.2","3284"
"Rio Ruiz","BAL","127","413","12","35","46","0","9.7%","21.3%",".143",".272",".232",".306",".376",".294","","79","-3.2","-14.3","-3.1","-0.2","14103"
"LaMonte Wade Jr.","MIN","26","69","2","10","5","0","15.9%","13.0%",".179",".200",".196",".348",".375",".320",".360","98","0.0","-0.1","-4.8","-0.2","18126"
"Drew Pomeranz","- - -","46","20","0","0","0","0","0.0%","65.0%",".000",".000",".000",".000",".000",".000",".037","-100","0.0","-5.6","2.5","-0.2","11426"
"Rafael Ortega","ATL","34","96","2","7","10","3","8.3%","22.9%",".102",".250",".205",".271",".307",".254",".277","50","1.2","-5.2","-0.4","-0.2","10323"
"Tyler Saladino","MIL","28","71","2","7","8","2","7.0%","36.6%",".092",".162",".123",".197",".215",".187",".242","7","0.7","-8.0","3.3","-0.2","10807"
"Alex Young","ARI","17","25","0","1","0","0","0.0%","72.0%",".000",".143",".040",".040",".040",".035",".038","-93","0.0","-6.4","3.1","-0.2","18333"
"Willi Castro","DET","30","110","1","10","8","0","5.5%","30.9%",".110",".333",".230",".284",".340",".270","","64","-1.4","-6.4","-0.1","-0.2","17338"
"Nick Hundley","OAK","31","73","2","5","5","0","2.7%","24.7%",".157",".240",".200",".233",".357",".248","","54","-2.2","-6.5","1.3","-0.3","3376"
"Patrick Wisdom","TEX","9","28","0","1","1","0","3.6%","53.6%",".038",".364",".154",".185",".192",".167","","-14","0.0","-4.1","0.5","-0.3","13602"
"Ty France","SDP","69","201","7","20","24","0","4.5%","24.4%",".168",".279",".234",".294",".402",".296","","84","-3.5","-7.7","-1.3","-0.3","17982"
"Matt Wieters","STL","67","183","11","15","27","1","6.6%","25.7%",".220",".223",".214",".268",".435",".292","","81","-0.8","-5.3","-3.2","-0.3","4298"
"Julio Teheran","ATL","35","60","0","1","4","0","0.0%","40.0%",".018",".188",".109",".107",".127",".099",".133","-51","0.0","-12.0","7.4","-0.3","6797"
