"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Ryan McMahon","COL","141","539","24","70","83","5","10.4%","29.7%",".200",".323",".250",".329",".450",".330",".323","89","0.1","-7.8","-0.9","0.8","15112"
"Addison Russell","CHC","82","241","9","25","23","2","8.3%","24.1%",".153",".280",".237",".308",".391",".297","","79","0.6","-6.0","6.8","0.8","14106"
"Yan Gomes","WSN","97","358","12","36","43","2","10.6%","23.5%",".166",".265",".223",".316",".389",".298","","80","-2.1","-11.6","8.4","0.8","9627"
"Phillip Ervin","CIN","94","260","7","30","23","4","6.9%","24.2%",".195",".339",".271",".331",".466",".334","","100","0.4","0.4","-0.6","0.8","14738"
"Mitch Moreland","BOS","91","335","19","48","58","1","10.1%","22.1%",".255",".271",".252",".328",".507",".347","","112","-2.1","3.2","-7.3","0.8","3086"
"Steven Brault","PIT","34","50","1","8","2","0","2.0%","16.0%",".095",".394",".333",".349",".429",".332","","105","0.0","0.3","6.1","0.8","15291"
"Michael Chavis","BOS","95","382","18","46","58","2","8.1%","33.2%",".190",".347",".254",".322",".444",".323","","96","-2.3","-4.3","-1.5","0.8","17321"
"Seth Brown","OAK","26","83","0","11","13","1","8.4%","27.7%",".160",".423",".293",".361",".453",".347","","120","-0.1","2.0","3.0","0.8","18171"
"Robbie Grossman","OAK","138","482","6","57","38","9","12.2%","17.8%",".107",".288",".240",".334",".348",".299",".324","88","0.0","-7.4","-2.1","0.8","5254"
"Jay Bruce","- - -","98","333","26","43","59","1","5.7%","24.6%",".306",".200",".216",".261",".523",".318",".334","98","-0.4","-1.5","-2.0","0.8","9892"
"Stephen Vogt","SFG","99","280","10","30","40","3","7.1%","23.6%",".227",".311",".263",".314",".490",".331","","106","0.3","2.6","-3.7","0.8","5000"
"Enrique Hernandez","LAD","130","460","17","57","64","4","7.8%","21.1%",".174",".266",".237",".304",".411",".301","","86","1.5","-6.8","-0.2","0.7","10472"
"Lane Thomas","STL","34","44","4","6","12","1","9.1%","18.2%",".368",".308",".316",".409",".684",".445","","181","-0.1","4.7","1.4","0.7","16939"
"Wil Myers","SDP","155","490","18","58","53","16","10.4%","34.3%",".179",".344",".239",".321",".418",".316","","97","-0.6","-2.6","-5.6","0.7","10047"
"Martin Maldonado","- - -","105","374","12","46","27","0","8.6%","23.0%",".165",".250",".213",".293",".378",".288","","76","-3.1","-14.8","8.7","0.7","6887"
"Trent Grisham","MIL","51","183","6","24","24","1","10.9%","26.2%",".179",".286",".231",".328",".410",".316","","92","0.7","-1.3","2.8","0.7","18564"
"Dylan Moore","SEA","113","282","9","31","28","11","8.9%","33.0%",".182",".290",".206",".302",".389",".299","","88","-0.7","-5.0","2.1","0.7","18042"
"Dominic Smith","NYM","89","197","11","35","25","1","9.6%","22.3%",".243",".320",".282",".355",".525",".368","","134","-1.6","7.1","-6.1","0.7","15653"
